"","2.5 %","97.5 %","odds"
"(Intercept)","0,4519838","2,570877","1,0799243"
"MannTillTreat","0,9994909","1,001235","1,0002818"
"SJC","0,9585295","1,036539","0,9966624"
"TJC","1,0044045","1,072682","1,0372023"
"aCCP","0,4970435","1,130134","0,7519818"
"diseaseDuration","0,9998296","1,000006","0,9999162"
"symptomDuration","       NA","      NA","       NA"
"Cluster1","1,0974668","3,687664","2,0069319"
"Cluster2","1,5773160","8,172287","3,5717268"
"Cluster3","2,3153422","9,344050","4,5943358"
"Cluster4","       NA","      NA","       NA"
