"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)"," 1,494892746","0,517589371"," 2,8881829","3,874745e-03"
"2","RF         "," 0,331258714","0,208904049"," 1,5856979","1,128079e-01"
"3","aCCP       ","-0,459824638","0,213469313","-2,1540550","3,123586e-02"
"4","Age        ","-0,013951752","0,006249113","-2,2325971","2,557553e-02"
"5","Sex        ","-0,532198133","0,163052962","-3,2639587","1,098672e-03"
"6","SJC        "," 0,037191362","0,016756102"," 2,2195712","2,644789e-02"
"7","TJC        ","-0,059922085","0,015110954","-3,9654733","7,325045e-05"
"8","BSE        ","-0,005684191","0,003300645","-1,7221455","8,504317e-02"
"9","Cluster1   ","-0,162781175","0,268140088","-0,6070751","5,438011e-01"
"10","Cluster2   ","-0,155742750","0,368994586","-0,4220733","6,729715e-01"
"11","Cluster3   "," 0,281525960","0,282949658"," 0,9949684","3,197516e-01"
"12","Cluster4   ","          NA","         NA","        NA","          NA"
