"","2.5 %","97.5 %","odds"
"(Intercept)","1,6266126","12,4109990","4,4588583"
"RF","0,9268207"," 2,1050674","1,3927201"
"aCCP","0,4138600"," 0,9569500","0,6313944"
"Age","0,9740616"," 0,9982543","0,9861451"
"Sex","0,4262354"," 0,8080235","0,5873126"
"SJC","1,0046409"," 1,0729748","1,0378916"
"TJC","0,9137451"," 0,9695857","0,9418379"
"BSE","0,9878233"," 1,0007154","0,9943319"
"Cluster1","0,5019205"," 1,4380894","0,8497771"
"Cluster2","0,4146261"," 1,7645033","0,8557793"
"Cluster3","0,7613018"," 2,3117958","1,3251504"
"Cluster4","       NA","        NA","       NA"
